Survey: Fri Sep  2 08:58:04 2016
Index 14 ---> lat: 37.9245888389, lon: -91.7724769208, alt: 8.3831795465
Index 15 ---> lat: 37.9244170431, lon: -91.7724803344, alt: 8.3831795465
Index 16 ---> lat: 37.9244152496, lon: -91.7723085141, alt: 8.3831795465
Index 17 ---> lat: 37.9245870454, lon: -91.7723051005, alt: 8.3831795465
Index 18 ---> lat: 37.9247588412, lon: -91.7723016869, alt: 8.3831795465
Index 19 ---> lat: 37.924930637, lon: -91.7722982733, alt: 8.3831795465
Index 20 ---> lat: 37.9249288435, lon: -91.772126453, alt: 8.3831795465
Index 21 ---> lat: 37.9247570477, lon: -91.7721298666, alt: 8.3831795465
Index 22 ---> lat: 37.9245852519, lon: -91.7721332802, alt: 8.3831795465
Index 23 ---> lat: 37.9244134562, lon: -91.7721366938, alt: 8.3831795465
Index 24 ---> lat: 37.9244116627, lon: -91.7719648735, alt: 8.3831795465
Index 25 ---> lat: 37.9245834585, lon: -91.7719614599, alt: 8.3831795465
Index 26 ---> lat: 37.9247552542, lon: -91.7719580463, alt: 8.3831795465
Index 27 ---> lat: 37.92492705, lon: -91.7719546327, alt: 8.3831795465
Index 28 ---> lat: 37.9249252565, lon: -91.7717828123, alt: 8.3831795465
Index 29 ---> lat: 37.9247534607, lon: -91.7717862259, alt: 8.3831795465
Index 30 ---> lat: 37.924581665, lon: -91.7717896396, alt: 8.3831795465
Index 31 ---> lat: 37.9244098692, lon: -91.7717930532, alt: 8.3831795465

###########################################

Survey: Fri Sep  2 09:30:02 2016
Survey: Fri Sep  2 09:31:56 2016
Index 0 ---> lat: 37.9247189648, lon: -91.7729122301, alt: 14.5200929035
Index 1 ---> lat: 37.9250165769, lon: -91.7729103986, alt: 14.5200929035
Index 2 ---> lat: 37.9250165769, lon: -91.7726127809, alt: 14.5200929035
Index 3 ---> lat: 37.9247189648, lon: -91.7726146123, alt: 14.5200929035
Index 4 ---> lat: 37.9247189648, lon: -91.7723169946, alt: 14.5200929035
Index 5 ---> lat: 37.9250165769, lon: -91.7723151631, alt: 14.5200929035

###########################################

Survey: Fri Sep  2 09:38:12 2016
Index 0 ---> lat: 37.9246502361, lon: -91.7729964598, alt: 7.26004645176
Index 1 ---> lat: 37.9247990004, lon: -91.7729928155, alt: 7.26004645176
Index 2 ---> lat: 37.9249477646, lon: -91.7729891713, alt: 7.26004645176
Index 3 ---> lat: 37.9249464604, lon: -91.7728403681, alt: 7.26004645176
Index 4 ---> lat: 37.9247976962, lon: -91.7728440124, alt: 7.26004645176
